Component;Path;Div Count;Ghosts Detected;Action Priority
DegradedBanner;components/ui/DegradedBanner.jsx;2;bootstrapLegacy (1x) | divSoup (1x) | hardcodedColors (4x);Alta
EntityEmbedding;components/ui/EntityEmbedding.jsx;2;Net;Baixa
GlobalDropOverlay;components/ui/GlobalDropOverlay.jsx;2;divSoup (1x);Alta
UniversalHeader;components/ui/Header/UniversalHeader.jsx;2;Net;Baixa
NanoLoader;components/ui/NanoLoader.jsx;2;divSoup (1x);Alta
SyncIndicator;components/ui/SyncIndicator.jsx;2;divSoup (1x);Alta
UniversalGrid;components/ui/UniversalGrid.jsx;2;Net;Baixa
UniversalCard.Header;components/ui/universal-card/UniversalCard.Header.jsx;2;Net;Baixa
UniversalCard.test;components/ui/universal-card/__tests__/UniversalCard.test.jsx;2;Net;Baixa
ChatShell;features/chat/ChatShell.jsx;2;Net;Baixa
SessionRulesPage;pages/SessionRulesPage.jsx;2;dangerousScroll (1x);Alta
LawsGrid;pages/features/anima-del-mas/LawsGrid.jsx;2;bootstrapLegacy (1x);Alta
AppShell.integration.test;__tests__/integration/AppShell.integration.test.jsx;1;Net;Baixa
SystemGuardian;app/SystemGuardian.jsx;1;Net;Baixa
BrasaButton;components/BrasaButton.jsx;1;Net;Baixa
WaitingForBackend;components/boundaries/WaitingForBackend.jsx;1;hardcodedColors (1x);Alta
ColorSwatch;components/design-system/primitives/ColorSwatch.jsx;1;dangerousScroll (1x);Alta
Cards;components/design-system/sections/Cards.jsx;1;bootstrapLegacy (4x) | hardcodedColors (2x) | dangerousScroll (1x);Alta
FormsAndInputs;components/design-system/sections/FormsAndInputs.jsx;1;Net;Baixa
OfflineGate;components/gates/OfflineGate.jsx;1;Net;Baixa
PageActionBar;components/layout/PageActionBar.jsx;1;Net;Baixa
GlobalModals;components/modals/GlobalModals.jsx;1;Net;Baixa
ErrorBoundary;components/ui/ErrorBoundary.jsx;1;Net;Baixa
UniversalInput;components/ui/Input/UniversalInput.jsx;1;Net;Baixa
UniversalCard;components/ui/UniversalCard.jsx;1;Net;Baixa
PedraMissatge;components/ui/trellat/PedraMissatge.jsx;1;Net;Baixa
UniversalCard.Media;components/ui/universal-card/UniversalCard.Media.jsx;1;Net;Baixa
index;components/ui/universal-card/index.jsx;1;Net;Baixa
UniversalHeader.Group;components/ui/universal-header/UniversalHeader.Group.jsx;1;Net;Baixa
UniversalPage;components/universal/UniversalPage.jsx;1;Net;Baixa
Pobles;pages/Pobles.jsx;1;Net;Baixa
EmotionalArc;pages/features/anima-del-mas/EmotionalArc.jsx;1;hardcodedColors (1x) | dangerousScroll (1x);Alta
AppShell.test;__tests__/accessibility/AppShell.test.jsx;0;Net;Baixa
AppShell.test;__tests__/components/AppShell.test.jsx;0;Net;Baixa
Bars.test;__tests__/components/Bars.test.jsx;0;Net;Baixa
UniversalHeader.test;__tests__/components/UniversalHeader.test.jsx;0;Net;Baixa
BootstrapProvider;app/BootstrapProvider.jsx;0;Net;Baixa
iaiesMundialsMap;app/config/iaiesMundialsMap.jsx;0;Net;Baixa
entry;app/entry.jsx;0;Net;Baixa
QueryProvider;app/providers/QueryProvider.jsx;0;Net;Baixa
SpInteractive;components/atoms/SpInteractive.jsx;0;Net;Baixa
AntiTsunamiSync;components/core/AntiTsunamiSync.jsx;0;Net;Baixa
BackgroundWorkers;components/core/BackgroundWorkers.jsx;0;Net;Baixa
SEO;components/core/SEO.jsx;0;Net;Baixa
SystemRoutes;components/core/SystemRoutes.jsx;0;Net;Baixa
VisorNano;components/core/VisorNano.jsx;0;Net;Baixa
